transaction_id,timestamp,sku_id,store_id,quantity,unit_price,channel,customer_id
TXN0024290,1707586797,SKU0167,ST012,13,7.14,pos,CUST00516
TXN0046570,2022-08-18T22:54:56,SKU0142,ST049,6,6.74,pos,CUST03934
TXN0005072,26/10/2024 20:02:18,SKU0210,ST019,11,15.68,Online,CUST01301
TXN0028869,16/02/2022 18:13:55,SKU0310,ST004,10,1.97,pos,CUST00479
TXN0039177,2023-12-14T08:47:44,SKU0222,ST049,9,4.25,Online,
TXN0034051,2024-03-09T22:31:04,SKU0213,ST002,23,6.04,POS,CUST00887
TXN0049798,1650789433,SKU0299,ST020,9,4.95,Online,CUST01425
TXN0012562,2024-02-14T10:02:31,SKU0133,ST052,2,4.79,pos,CUST02629
TXN0009211,2024-08-18T02:23:07,SKU0185,ST010,9,3.19,pos,CUST00647
TXN0027360,2023-12-28T18:48:49,SKU0140,ST014,27,1.59,Online,CUST01885
TXN0008802,06/03/2023 23:53:46,SKU0296,ST039,9,8.13,POS,CUST00403
TXN0005345,2023-04-22T17:39:56,SKU0113,ST025,17,11.59,POS,CUST01830
TXN0013219,16/03/2024 19:55:37,SKU0233,ST056,16,27.1,online,CUST02139
TXN0010878,2023-08-16T05:23:36,SKU0003,ST036,4,7.02,POS,
TXN0036960,1656284648,SKU0027,ST048,2,24.6,POS,CUST03502
TXN0045078,1699471811,SKU0121,ST044,5,4.96,online,CUST01970
TXN0033164,2023-08-21T22:57:36,SKU0217,ST020,10,6.68,Online,
TXN0008051,1658853126,SKU0179,ST051,3,3.04,pos,CUST00290
TXN0049809,2024-06-16T04:22:26,SKU0045,ST055,2,3.41,online,
TXN0025354,2023-09-04T04:48:17,SKU0118,ST001,42,5.74,pos,CUST02178
TXN0002735,2024-03-21T16:43:17,SKU0363,ST019,6,20.94,Online,CUST01552
TXN0040959,1676661068,SKU0200,ST029,14,14.46,POS,CUST02946
TXN0020657,1645785938,SKU0153,ST052,8,1.87,POS,CUST00004
TXN0023684,19/05/2024 15:33:01,SKU0131,ST005,100,2.86,online,CUST00779
TXN0011759,1656300911,SKU0065,ST043,11,3.77,pos,CUST03739
TXN0008701,23/08/2024 21:57:47,SKU0011,ST037,25,16.13,Online,CUST00509
TXN0037155,1658980454,SKU0266,ST035,4,4.36,POS,
TXN0036618,2024-10-27T23:06:24,SKU0123,ST041,5,4.39,POS,CUST00568
TXN0025273,24/07/2022 08:09:55,SKU0058,ST031,25,3.6,POS,CUST02868
TXN0029250,08/04/2024 14:23:55,SKU0012,ST009,59,12.1,POS,
TXN0007074,07/01/2023 04:47:35,SKU0285,ST031,26,31.5,pos,CUST01921
TXN0038200,26/11/2022 14:50:36,SKU0182,ST012,32,5.41,pos,CUST00993
TXN0045167,19/04/2024 04:31:05,SKU0006,ST029,9,27.99,pos,CUST02575
TXN0038767,08/11/2023 01:22:52,SKU0308,ST018,11,3.91,pos,CUST02447
TXN0004777,19/03/2023 13:20:18,SKU0328,ST007,17,2.36,Online,CUST01632
TXN0036020,11/06/2022 02:01:07,SKU0077,ST029,17,5.49,pos,
TXN0000560,2024-01-14T15:59:20,SKU0226,ST053,3,2.91,pos,CUST02074
TXN0021148,18/06/2023 19:18:08,SKU0298,ST021,9,20.36,Online,CUST00472
TXN0001765,06/11/2024 22:10:42,SKU0271,ST040,4,31.96,Online,CUST01530
TXN0030294,26/11/2023 03:13:40,SKU0252,ST052,4,1.9,pos,CUST01812
TXN0025554,1708143732,SKU0101,ST010,18,18.04,POS,
TXN0026723,2024-10-06T23:59:46,SKU0054,ST039,-2,2.98,pos,CUST01434
TXN0006732,22/01/2023 15:46:47,SKU0120,ST029,9,16.15,POS,
TXN0041513,16/02/2024 11:56:58,SKU0142,ST007,24,7.73,POS,CUST02704
TXN0036115,2024-04-14T18:11:11,SKU0229,ST047,3,6.4,pos,
TXN0021418,20/08/2024 23:56:39,SKU0281,ST029,15,19.25,Online,CUST02645
TXN0033310,2022-10-21T20:02:51,SKU0138,ST031,12,3.87,POS,CUST00214
TXN0045778,1643525642,SKU0121,ST053,3,4.39,Online,CUST02076
TXN0046740,1717505491,SKU0047,ST004,12,13.75,POS,
TXN0019326,1700649019,SKU0004,ST004,-1,8.68,online,CUST03896
TXN0028431,1731087280,SKU0089,ST017,8,23.93,pos,
TXN0013890,1661711934,SKU0111,ST010,31,25.51,pos,CUST02307
TXN0010186,1720756956,SKU0354,ST048,4,15.12,online,CUST00653
TXN0034869,1649116285,SKU0069,ST042,3,1.04,POS,CUST00964
TXN0007034,2022-01-28T00:02:15,SKU0266,ST045,7,4.78,Online,CUST02857
TXN0031273,08/06/2023 18:49:08,SKU0035,ST025,15,19.24,POS,CUST03205
TXN0036710,2024-09-15T18:43:30,SKU0111,ST026,7,31.55,pos,
TXN0016961,2023-06-04T08:06:24,SKU0104,ST030,20,5.72,pos,CUST02584
TXN0038902,2024-03-21T13:35:10,SKU0064,ST052,9,18.35,online,CUST02258
TXN0001619,26/12/2023 10:44:32,SKU0023,ST028,9,1.36,POS,CUST01515
TXN0027872,24/12/2022 01:08:14,SKU0285,ST032,14,29.27,POS,CUST01231
TXN0042520,1668596433,SKU0067,ST020,19,2.96,POS,CUST01900
TXN0012534,20/05/2023 18:47:44,,ST060,,43.94,Online,CUST03429
TXN0031790,06/11/2022 15:09:15,SKU0031,ST019,5,20.21,pos,CUST01746
TXN0019768,04/08/2024 11:12:51,SKU0329,ST042,4,21.26,pos,CUST01515
TXN0038546,04/09/2022 09:59:31,SKU0088,ST012,22,3.74,online,
TXN0043231,1657658266,SKU0286,ST050,4,9.87,online,
TXN0030995,1698103073,SKU0143,ST010,18,5.83,pos,CUST01296
TXN0014568,07/07/2023 00:01:10,SKU0317,ST032,10,14.66,POS,CUST00495
TXN0022855,2024-05-04T07:24:06,SKU0124,ST034,11,2.74,pos,CUST02589
TXN0007239,17/11/2022 00:46:20,SKU0112,ST026,9,13.99,online,
TXN0023779,1664924876,SKU0082,ST023,19,4.46,POS,CUST00774
TXN0045372,1667586572,SKU0148,ST034,9,12.17,POS,CUST01082
TXN0004513,2024-03-24T22:02:33,SKU0044,ST042,3,8.03,POS,CUST02844
TXN0035218,2024-11-26T15:22:22,SKU0235,ST039,22,6.9,pos,CUST01774
TXN0015425,05/03/2024 13:33:15,SKU0160,ST044,5,2.82,online,CUST03242
TXN0032544,2022-12-13T13:55:40,SKU0041,ST033,18,2.36,pos,CUST02117
TXN0047633,1714842762,SKU0348,ST021,8,4.33,pos,CUST00270
TXN0048701,1717008012,SKU0356,ST039,13,13.26,Online,CUST00547
TXN0014376,16/05/2023 05:10:27,SKU0301,ST029,17,31.26,pos,CUST00266
TXN0006778,2024-03-31T07:47:15,SKU0110,ST025,7,6.27,POS,CUST00684
TXN0024537,2024-02-25T17:51:38,SKU0321,ST029,9,23.47,Online,CUST01275
TXN0010079,2023-05-02T05:54:35,SKU0323,ST056,3,16.7,POS,CUST03087
TXN0041826,1692710810,SKU0314,ST057,9,8.11,pos,CUST01020
TXN0038348,2024-02-24T17:59:20,SKU0375,ST053,4,8.96,POS,CUST01147
TXN0036182,2023-10-15T05:11:27,SKU0384,ST023,10,20.87,pos,CUST00228
TXN0037053,2022-01-07T06:58:50,SKU0245,ST038,9,6.02,POS,CUST00311
TXN0010122,1696139906,SKU0092,ST044,2,20.99,POS,
TXN0040706,20/10/2023 00:42:03,SKU0146,ST018,9,22.24,online,
TXN0011582,2024-10-12T21:17:33,SKU0026,ST031,4,4.53,online,CUST02275
TXN0034325,19/02/2022 03:07:25,SKU0238,ST054,2,6.67,POS,CUST01000
TXN0021125,16/10/2024 01:53:47,SKU0215,ST024,10,8.36,POS,CUST02111
TXN0030998,2023-07-18T08:37:33,SKU0033,ST057,7,19.15,POS,
TXN0031433,1679496391,SKU0121,ST044,2,4.85,POS,
TXN0036841,14/04/2023 06:19:02,SKU0053,ST010,78,5.7,POS,CUST02100
TXN0048632,2023-07-02T20:44:36,SKU0021,ST006,22,17.52,online,
TXN0044298,1705316214,SKU0317,ST011,28,16.28,pos,
TXN0007701,2024-10-13T07:12:25,SKU0323,ST021,16,15.83,pos,CUST02188
TXN0037162,1715547379,SKU0281,ST029,15,20.51,online,CUST01576
TXN0002531,29/11/2023 12:21:24,SKU0128,ST051,2,21.39,POS,CUST01655
